,Axis 1,Axis 2
0,American Samoa.png,American Samoa
1,Anguilla.png,Anguilla
2,Aruba.png,Aruba
3,Bermuda.png,Bermuda
4,British Indian Ocean Territory.png,British Indian Ocean Territory
5,British Virgin Islands.png,British Virgin Islands
6,Cayman Islands.png,Cayman Islands
7,Christmas Island.png,Christmas Island
8,Cocos Islands.png,Cocos Islands
9,Cook Islands.png,Cook Islands
10,Falkland Islands.png,Falkland Islands
11,French Polynesia.png,French Polynesia
12,French Southern Territories.png,French Southern Territories
13,Gibraltar.png,Gibraltar
14,Guam.png,Guam
15,Guernsey.png,Guernsey
16,Hong Kong.png,Hong Kong
17,Isle of Man.png,Isle of Man
18,Jersey.png,Jersey
19,Macau.png,Macau
20,Martinique.png,Martinique
21,Mayotte.png,Mayotte
22,Montserrat.png,Montserrat
23,Netherlands Antilles.png,Netherlands Antilles
24,New Caledonia.png,New Caledonia
25,Niue.png,Niue
26,Norfolk Island.png,Norfolk Island
27,Northern Mariana Islands.png,Northern Mariana Islands
28,Pitcairn Islands.png,Pitcairn Islands
29,Puerto Rico.png,Puerto Rico
30,St Helena.png,St Helena
31,St Pierre and Miquelon.png,St Pierre and Miquelon
32,South Georgia and South Sandwich Islands.png,South Georgia and South Sandwich Islands
33,Tokelau.png,Tokelau
34,Turks and Caicos Islands.png,Turks and Caicos Islands
35,Virgin Islands.png,Virgin Islands
36,Wallis and Futuna.png,Wallis and Futuna
37,Guadeloupe.png,Guadeloupe
