,From,To,President,First Lady,Vice President,Axis 1
0,1789,1797,George Washington ,Martha Washington ,John Adams,1789-1797
1,1797,1801,John Adams ,Abigail Adams ,Thomas Jefferson,1797-1801
2,1801,1805,Thomas Jefferson,Martha Wayles Skelton Jefferson (deceased),Aaron Burr,1801-1805
3,1805,1809,Thomas Jefferson ,Martha Wayles Skelton Jefferson (deceased) ,George Clinton,1805-1809
4,1809,1812,James Madison ,Dolley Madison ,George Clinton,1809-1812
5,1812,1813,James Madison ,Dolley Madison ,office vacant,1812-1813
6,1813,1814,James Madison ,Dolley Madison ,Elbridge Gerry,1813-1814
7,1814,1817,James Madison ,Dolley Madison ,office vacant,1814-1817
8,1817,1825,James Monroe ,Elizabeth Kortright Monroe,Daniel D. Tompkins,1817-1825
9,1825,1829,John Quincy Adams ,Louisa Catherine Adams ,John C. Calhoun,1825-1829
10,1829,1832,Andrew Jackson ,Rachel Jackson [Rachel Donelson Jackson died before Jackson assumed office and did not serve as first lady] ,John C. Calhoun,1829-1832
11,1833,1837,Andrew Jackson ,Rachel Jackson [Rachel Donelson Jackson died before Jackson assumed office and did not serve as first lady] ,Martin Van Buren,1833-1837
12,1837,1841,Martin Van Buren ,Hannah Hoes Van Buren ,Richard M. Johnson,1837-1841
13,1841,1841,William Henry Harrison ,Anna Tuthill Symmes Harrison ,John Tyler,1841-1841
14,1841,1845,John Tyler ,Letitia Christian Tyler and Julia Gardiner Tyler ,office vacant,1841-1845
15,1845,1849,James K. Polk ,Sarah Childress Polk ,George M. Dallas,1845-1849
16,1849,1850,Zachary Taylor ,Margaret Mackall Smith Taylor,Millard Fillmore,1849-1850
17,1850,1853,Millard Fillmore ,Abigail Powers Fillmore ,office vacant,1850-1853
18,1853,1853,Franklin Pierce ,Jane M. Pierce ,William R. King,1853-1853
19,1853,1857,Franklin Pierce ,Jane M. Pierce ,office vacant,1853-1857
20,1857,1861,James Buchanan ,(never married) ,John C. Breckinridge,1857-1861
21,1861,1865,Abraham Lincoln ,Mary Todd Lincoln ,Hannibal Hamlin,1861-1865
22,1865,1865,Abraham Lincoln ,Mary Todd Lincoln ,Andrew Johnson,1865-1865
23,1865,1869,Andrew Johnson ,Eliza McCardle Johnson ,office vacant,1865-1869
24,1869,1873,Ulysses S. Grant ,Julia Dent Grant ,Schuyler Colfax,1869-1873
25,1873,1875,Ulysses S. Grant ,Julia Dent Grant ,Henry Wilson,1873-1875
26,1875,1877,Ulysses S. Grant ,Julia Dent Grant ,office vacant,1875-1877
27,1877,1881,Rutherford Birchard Hayes ,Lucy Webb Hayes ,William A. Wheeler,1877-1881
28,1881,1881,James A. Garfield ,Lucretia Rudolph Garfield ,Chester A. Arthur,1881-1881
29,1881,1885,Chester A. Arthur ,Ellen Lewis Herndon Arthur ,office vacant,1881-1885
30,1885,1885,Grover Cleveland ,Frances Folsom Cleveland ,Thomas A. Hendricks,1885-1885
31,1885,1889,Grover Cleveland ,Frances Folsom Cleveland ,office vacant,1885-1889
32,1889,1893,Benjamin Harrison ,"Caroline Lavinia Scott Harrison, Mary Lord Harrison [Harrison's second wife, but never a first lady]",Levi P. Morton,1889-1893
33,1893,1897,Grover Cleveland ,Frances Folsom Cleveland ,Adlai E. Stevenson,1893-1897
34,1897,1899,William McKinley ,Ida Saxton McKinley ,Garret A. Hobart,1897-1899
35,1899,1901,William McKinley ,Ida Saxton McKinley ,office vacant,1899-1901
36,1901,1901,William McKinley ,Ida Saxton McKinley ,Theodore Roosevelt,1901-1901
37,1901,1905,Theodore Roosevelt ,Edith Kermit Carow Roosevelt ,office vacant,1901-1905
38,1905,1909,Theodore Roosevelt ,Edith Kermit Carow Roosevelt ,Charles W. Fairbanks,1905-1909
39,1909,1912,William H. Taft ,Helen Herron Taft ,James S. Sherman,1909-1912
40,1912,1913,William H. Taft ,Helen Herron Taft ,office vacant,1912-1913
41,1913,1921,Woodrow Wilson ,Ellen Axson Wilson and Edith Bolling Galt Wilson ,Thomas R. Marshall,1913-1921
42,1921,1923,Warren G. Harding ,Florence Kling Harding ,Calvin Coolidge,1921-1923
43,1923,1925,Calvin Coolidge ,Grace Goodhue Coolidge ,office vacant,1923-1925
44,1925,1929,Calvin Coolidge ,Grace Goodhue Coolidge ,Charles G. Dawes,1925-1929
45,1929,1933,Herbert Hoover ,Lou Henry Hoover ,Charles Curtis,1929-1933
46,1933,1941,Franklin D. Roosevelt ,Eleanor Roosevelt ,John N. Garner,1933-1941
47,1941,1945,Franklin D. Roosevelt ,Eleanor Roosevelt ,Henry A. Wallace,1941-1945
48,1945,1945,Franklin D. Roosevelt ,Eleanor Roosevelt ,Harry S. Truman,1945-1945
49,1945,1949,Harry S. Truman ,Bess Wallace Truman ,office vacant,1945-1949
50,1949,1953,Harry S. Truman ,Bess Wallace Truman ,"Barkley, Alben W.",1949-1953
51,1953,1961,Dwight D. Eisenhower ,Mamie Doud Eisenhower ,Richard M. Nixon,1953-1961
52,1961,1963,John F. Kennedy ,Jacqueline Kennedy Onassis ,Lyndon B. Johnson,1961-1963
53,1963,1965,Lyndon B. Johnson ,Lady Bird Johnson ,office vacant,1963-1965
54,1965,1969,Lyndon B. Johnson ,Lady Bird Johnson ,Hubert H. Humphrey,1965-1969
55,1969,1973,Richard M. Nixon ,Pat Nixon ,Spiro T. Agnew,1969-1973
56,1973,1974,Richard M. Nixon ,Pat Nixon ,Gerald R. Ford,1973-1974
57,1974,1977,Gerald R. Ford ,Betty Ford ,Nelson Rockefeller,1974-1977
58,1977,1981,Jimmy Carter ,Rosalynn Carter ,Walter F. Mondale,1977-1981
59,1981,1989,Ronald Reagan ,Nancy Reagan ,George Bush,1981-1989
60,1989,1993,George Bush ,Barbara Bush ,Dan Quayle,1989-1993
61,1993,2001,Bill Clinton ,Hillary Rodham Clinton ,Albert Gore,1993-2001
62,2001,2009,George W. Bush ,Laura Bush ,Richard Cheney,2001-2009
63,2009,2017,Barack Obama ,Michelle Obama ,Joseph R. Biden,2009-2017
64,2017,present ,Donald J. Trump ,Melania Trump ,Mike Pence,2017-present 
